id,classification,question,answer,video_url
44,faq_rehabilitation,최근 채무가 많아도 개인 회생이 가능할까요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/biLHaTnBAGM
45,faq_rehabilitation,회생 신청 중 소송은 어떻게 해야 할까요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/X_tIIbyC2Mw
46,faq_rehabilitation,회생위원회 면담 준비 어떻게 해야 할까요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/H4BXkfRBycM
47,faq_rehabilitation,개인회생 금지명령제도란 무엇인가요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/Ys4JH6jA38U
48,faq_rehabilitation,개인회생 임차보증금 주의사항,입력하신 사항이 없습니다.,https://www.youtube.com/embed/wMDp2MQOjXI
49,faq_rehabilitation,개인회생 부동산담보대출 해결방법,입력하신 사항이 없습니다.,https://www.youtube.com/embed/auQbuXuCX1c
50,faq_rehabilitation,개인회생으로 카드 값 돌려막기 해결하자,입력하신 사항이 없습니다.,https://www.youtube.com/embed/Zm1oVBvxnXc
51,faq_rehabilitation,채권자에게서 개인회생 신청을 하면 이의신청하여 기각하겠다고 협박을 받으면?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/WaZpJmLSbf8
52,faq_rehabilitation,개인회생 vs 워크아웃,입력하신 사항이 없습니다.,https://www.youtube.com/embed/YnuiU8psou8
53,faq_rehabilitation,개인회생 월세 주거비인정 실제사례,입력하신 사항이 없습니다.,https://www.youtube.com/embed/jiBYoqgSd2U
54,faq_rehabilitation,제주지방법원 개인회생 금지명령 실제사례,입력하신 사항이 없습니다.,https://www.youtube.com/embed/rr7Ngk9KmHw
55,faq_rehabilitation,서울회생법원 최근채무 도박채무 개시결정사례,입력하신 사항이 없습니다.,https://www.youtube.com/embed/w6wr9K5Ro_g
56,faq_rehabilitation,수원지방법원 개인회생 실제사례,입력하신 사항이 없습니다.,https://www.youtube.com/embed/Ar9_laLif6I
57,faq_rehabilitation,개인회생 최근채무 실제사례,입력하신 사항이 없습니다.,https://www.youtube.com/embed/LlDGEDBY-6E
