id,classification,question,answer,video_url
44,faq_bankruptcy,연대보증에 따른 파산신청 어떻게 해야 하나요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/rohiTq0iMFc
45,faq_bankruptcy,대구지방법원 중고자동차 처분&파산면책 실제사례,입력하신 사항이 없습니다.,https://www.youtube.com/embed/VLkoPBycqP8
46,faq_bankruptcy,수원지방법원 학자금 대출 파산사례 & 주의사항,입력하신 사항이 없습니다.,https://www.youtube.com/embed/hjq3zZ-OjfA
47,faq_bankruptcy,수원지방법원 [개인회생 -> 개인파산] 실제사례,입력하신 사항이 없습니다.,https://www.youtube.com/embed/pONhHWZKY20
48,faq_bankruptcy,의정부지방법원 부부파산 사례,입력하신 사항이 없습니다.,https://www.youtube.com/embed/_0b0d2Dbph4
49,faq_bankruptcy,대구지방법원 파산신청사례(자녀명의의 재산이 있는 경우),입력하신 사항이 없습니다.,https://www.youtube.com/embed/zRenbn5NSLc
50,faq_bankruptcy,창원지방법원 워크아웃폐지 후 파산면책 사례,입력하신 사항이 없습니다.,https://www.youtube.com/embed/Dc8NyCaoyWY
51,faq_bankruptcy,대구지방법원 파산면책 실제사례,입력하신 사항이 없습니다.,https://www.youtube.com/embed/gojXF6CjAEA
52,faq_bankruptcy,서울회생법원 파산면책 실제사례,입력하신 사항이 없습니다.,https://www.youtube.com/embed/pCD0fABpY04
53,faq_bankruptcy,인천지방법원 개인파산 실제사례,입력하신 사항이 없습니다.,https://www.youtube.com/embed/JgcqHmP-3hk
54,faq_bankruptcy,울산지방법원 파산면책 사례,입력하신 사항이 없습니다.,https://www.youtube.com/embed/fEMSV1unulc
